timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1706734835439,234,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,234,0,78
1706734835436,237,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,237,0,81
1706734835439,239,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1287,10,10,239,0,85
1706734835473,230,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,230,0,77
1706734835527,238,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,238,0,75
1706734835648,216,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,216,0,63
1706734835646,225,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,225,0,70
1706734835648,231,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,231,0,73
1706734835673,223,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,223,0,71
1706734835671,225,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,225,0,69
1706734835673,224,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,224,0,69
1706734835673,231,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,231,0,75
1706734835679,233,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,233,0,72
1706734835703,230,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,230,0,74
1706734835766,222,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,222,0,71
1706734835865,222,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,222,0,71
1706734835871,226,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1288,10,10,226,0,70
1706734835879,224,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,224,0,70
1706734835897,226,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,226,0,71
1706734835896,228,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,228,0,73
1706734835904,224,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,224,0,68
1706734835896,232,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,232,0,75
1706734835912,221,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,221,0,66
1706734835933,231,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,231,0,78
1706734835989,216,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,216,0,66
1706734836087,227,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,227,0,67
1706734836104,218,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,218,0,67
1706734836097,234,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,234,0,74
1706734836124,223,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,223,0,71
1706734836124,227,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,227,0,71
1706734836129,222,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,222,0,71
1706734836129,224,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,224,0,69
1706734836133,233,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,233,0,69
1706734836164,224,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,243,1289,10,10,224,0,73
1706734836206,226,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1288,10,10,226,0,66
1706734836315,225,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,225,0,73
1706734836323,227,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,227,0,71
1706734836331,222,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,222,0,68
1706734836348,225,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,225,0,71
1706734836353,221,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,221,0,66
1706734836352,230,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,230,0,71
1706734836352,243,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,243,0,85
1706734836367,233,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,233,0,76
1706734836388,232,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,232,0,74
1706734836432,224,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,224,0,73
1706734836540,228,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1287,10,10,228,0,72
1706734836550,221,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,221,0,65
1706734836553,223,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,223,0,70
1706734836574,235,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,235,0,79
1706734836573,236,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,236,0,75
1706734836582,227,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,227,0,74
1706734836596,229,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,229,0,75
1706734836601,234,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,234,0,74
1706734836620,230,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,230,0,72
1706734836656,222,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,222,0,64
